priority,category,source_url,lifecycle_status,seo_action,sales_action,compliance_gate,destination_if_any,reason,evidence,risk,confidence,missing_data,founder_approval
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-smoothie-recipes-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-soap-benefits-skin-guide,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-soap-vs-regular-soap-comparison-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-vs-ashwagandha-comparison-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=27.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P1,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-vs-coffee-melbourne-energy-hack,PROTECT,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=715.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P1,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-vs-spirulina-vs-matcha-comparison-australia,PROTECT,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=5.0; impressions=48.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-vs-whey-protein-comparison-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=1.0; impressions=30.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-wellness-shot-recipe-winter-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=7.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/moringa-with-vitamin-c-iron-absorption-guide-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=2.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/morning-routine-health-tips-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/natural-pre-workout-moringa-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=2.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/nutrithrive-dried-curry-leaves-tradition-health,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=9.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/quick-healthy-meal-ideas-15-minutes-australia,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/rosabella-moringa-reviews-legit-or-overhyped-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=3.0; impressions=184.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/science-shade-drying-vs-sun-drying-moringa,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=93.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/signs-magnesium-deficiency-australia-what-to-eat-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/strength-training-women-over-35-why-it-matters-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/verify-moringa-quality-premium-buyers-checklist-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=1.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/what-does-aust-l-mean-supplement-label-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=0.0; impressions=1.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,SEO_IMPROVE,https://nutrithrive.com.au/blog/what-does-moringa-powder-taste-like-honest-guide-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,CLEAR,,Existing visibility or distinct search intent,Filtered GSC clicks=1.0; impressions=26.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/what-to-eat-perimenopause-diet-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,BLOCKED_PENDING_REVIEW,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/why-always-tired-nutritional-deficiencies-australia-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=6.0,Repeated edits during measurement lock,MEDIUM,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,COMPLIANCE_REVIEW,https://nutrithrive.com.au/blog/why-premium-moringa-costs-11-not-25-value-vs-markup-2026,IMPROVE,MEASURE current implementation; review after lock,Measure blog_product_click and downstream GA4 events,REVIEW_REQUIRED,,Existing visibility or distinct search intent,Filtered GSC clicks=; impressions=,Repeated edits during measurement lock,LOW,Unfiltered current GSC; GA4 landing-page funnel; backlinks,NO
P2,TECHNICAL_CLEANUP,https://nutrithrive.com.au/blog/fathers-day-gift-under-40,CONSOLIDATE,Verify existing one-hop 301 and keep source out of sitemap,None,CLEAR,https://nutrithrive.com.au/products/gift-pack,Existing moved-page source,Local canonical/redirect and live HTTP result,Changing an established redirect without backlink evidence,HIGH,Backlink inventory,NO
P2,TECHNICAL_CLEANUP,https://nutrithrive.com.au/blog/iron-deficiency-australian-women-abs-real-numbers-2026,CONSOLIDATE,Verify existing one-hop 301 and keep source out of sitemap,None,REVIEW_REQUIRED,https://nutrithrive.com.au/blog/iron-deficiency-australian-women-symptoms-plant-based-sources-2026,Existing moved-page source,Local canonical/redirect and live HTTP result,Changing an established redirect without backlink evidence,HIGH,Backlink inventory,NO
P2,TECHNICAL_CLEANUP,https://nutrithrive.com.au/blog/is-moringa-safe-during-pregnancy-2026,CONSOLIDATE,Verify existing one-hop 301 and keep source out of sitemap,None,BLOCKED_PENDING_REVIEW,https://nutrithrive.com.au/blog/moringa-pregnancy-safe-australia-trimester-guide-2026,Existing moved-page source,Local canonical/redirect and live HTTP result,Changing an established redirect without backlink evidence,HIGH,Backlink inventory,NO
P2,TECHNICAL_CLEANUP,https://nutrithrive.com.au/blog/moringa-smoothie-recipes-australia-easy-2026,CONSOLIDATE,Verify existing one-hop 301 and keep source out of sitemap,None,CLEAR,https://nutrithrive.com.au/blog/moringa-smoothie-recipes-australia-2026,Existing moved-page source,Local canonical/redirect and live HTTP result,Changing an established redirect without backlink evidence,HIGH,Backlink inventory,NO
P2,TECHNICAL_CLEANUP,https://nutrithrive.com.au/blog/stress-weight-gain-cortisol-mechanism-what-to-do-2026,CONSOLIDATE,Verify existing one-hop 301 and keep source out of sitemap,None,CLEAR,https://nutrithrive.com.au/blog/moringa-calm-mind-stress-brain-fog-cortisol-science-2026,Existing moved-page source,Local canonical/redirect and live HTTP result,Changing an established redirect without backlink evidence,HIGH,Backlink inventory,NO
P2,TECHNICAL_CLEANUP,https://nutrithrive.com.au/blog/vitamin-d-deficiency-australia-sunny-country-paradox-2026,CONSOLIDATE,Verify existing one-hop 301 and keep source out of sitemap,None,REVIEW_REQUIRED,https://nutrithrive.com.au/blog/vitamin-d-deficiency-australia-abs-sunny-country-2026,Existing moved-page source,Local canonical/redirect and live HTTP result,Changing an established redirect without backlink evidence,HIGH,Backlink inventory,NO
